date,baidu_trend
2020-01-20,226302
2020-01-21,523510
2020-01-22,601438
2020-01-23,614798
2020-01-24,476796
2020-01-25,682588
2020-01-26,656094
2020-01-27,482060
2020-01-28,462561
2020-01-29,395141
2020-01-30,348041
2020-01-31,335860
2020-02-01,310211
2020-02-02,301217
2020-02-03,285670
2020-02-04,264035
2020-02-05,256250
2020-02-06,249509
2020-02-07,251741
2020-02-08,229098
2020-02-09,209047
2020-02-10,208078
2020-02-11,186559
2020-02-12,173622
2020-02-13,208328
2020-02-14,168046
2020-02-15,143136
2020-02-16,129757
2020-02-17,128406
2020-02-18,115672
2020-02-19,108493
2020-02-20,109100
2020-02-21,108460
2020-02-22,95274
2020-02-23,91695
2020-02-24,95292
2020-02-25,85271
2020-02-26,81768
2020-02-27,79717
2020-02-28,77940
2020-02-29,75941
2020-03-01,72008
2020-03-02,72262
2020-03-03,67801
2020-03-04,70807
2020-03-05,65358
2020-03-06,62084
2020-03-07,55653
2020-03-08,52702
2020-03-09,54218
2020-03-10,51987
2020-03-11,51457
2020-03-12,54218
2020-03-13,54962
2020-03-14,52511
2020-03-15,54979
2020-03-16,51915
2020-03-17,48052
2020-03-18,47413
2020-03-19,45826
2020-03-20,47234
2020-03-21,46768
2020-03-22,44607
2020-03-23,43779
2020-03-24,43571
2020-03-25,40707
2020-03-26,40416
2020-03-27,42224
2020-03-28,39245
2020-03-29,38860
2020-03-30,38782
2020-03-31,35462
2020-04-01,35079
2020-04-02,33710
2020-04-03,33028
2020-04-04,41923
2020-04-05,29515
