date,US_search,CN_search
2020-01-20,0,10
2020-01-21,3,11
2020-01-22,3,32
2020-01-23,4,58
2020-01-24,8,75
2020-01-25,9,100
2020-01-26,10,88
2020-01-27,11,86
2020-01-28,12,82
2020-01-29,11,95
2020-01-30,12,99
2020-01-31,12,65
2020-02-01,9,64
2020-02-02,8,60
2020-02-03,7,50
2020-02-04,6,30
2020-02-05,6,37
2020-02-06,6,37
2020-02-07,6,44
2020-02-08,6,46
2020-02-09,5,26
2020-02-10,5,38
2020-02-11,5,22
2020-02-12,5,20
2020-02-13,5,24
2020-02-14,4,20
2020-02-15,4,13
2020-02-16,4,15
2020-02-17,4,17
2020-02-18,4,22
2020-02-19,3,16
2020-02-20,3,23
2020-02-21,3,21
2020-02-22,4,24
2020-02-23,5,23
2020-02-24,7,23
2020-02-25,11,22
2020-02-26,16,30
2020-02-27,19,17
2020-02-28,19,29
2020-02-29,20,32
2020-03-01,18,38
2020-03-02,26,20
2020-03-03,26,22
2020-03-04,24,28
2020-03-05,29,27
2020-03-06,30,30
2020-03-07,32,26
2020-03-08,30,41
2020-03-09,39,28
2020-03-10,46,23
2020-03-11,57,26
2020-03-12,100,35
2020-03-13,91,43
2020-03-14,79,50
2020-03-15,100,53
2020-03-16,97,43
2020-03-17,87,42
2020-03-18,80,42
2020-03-19,78,32
2020-03-20,77,35
2020-03-21,74,51
2020-03-22,78,38
2020-03-23,72,47
2020-03-24,67,41
2020-03-25,61,35
2020-03-26,62,22
2020-03-27,60,42
2020-03-28,59,55
2020-03-29,57,53
2020-03-30,52,36
2020-03-31,48,35
2020-04-01,47,37
2020-04-02,47,32
2020-04-03,57,32
2020-04-04,60,41
2020-04-05,60,50
2020-04-06,60,58
2020-04-07,56,37
2020-04-08,52,27
2020-04-09,49,29
2020-04-10,48,29
2020-04-11,37,21
2020-04-12,30,27
2020-04-13,42,21
2020-04-14,44,26
2020-04-15,43,21
2020-04-16,41,24
2020-04-17,40,26
2020-04-18,43,26
